home_team,away_team,match_datetime,competition,stream_url
Barcelona,Celta Vigo,17/07/2026 19:00,SPAIN: La Liga,https://www.scorebat.com/embed/v/69e9881cb1873/?utm_source=api&utm_medium=video&utm_campaign=lgc
Burnley,Manchester City,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e941491f471/?utm_source=api&utm_medium=video&utm_campaign=lgc
Brighton,Chelsea,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e84ee1eaae7/?utm_source=api&utm_medium=video&utm_campaign=lgc
Real Madrid,Alaves,17/07/2026 19:00,SPAIN: La Liga,https://www.scorebat.com/embed/v/69e84ecf12bac/?utm_source=api&utm_medium=video&utm_campaign=lgc
Inter Milan,Como,17/07/2026 19:00,ITALY: National cup,https://www.scorebat.com/embed/v/69e84a1f3a75a/?utm_source=api&utm_medium=video&utm_campaign=lgc
Manchester City,Arsenal,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e542eb8fafc/?utm_source=api&utm_medium=video&utm_campaign=lgc
Everton,Liverpool,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e5c5695a1c8/?utm_source=api&utm_medium=video&utm_campaign=lgc
PSG,Lyon,17/07/2026 19:00,FRANCE: Ligue 1,https://www.scorebat.com/embed/v/69e5c5528ec57/?utm_source=api&utm_medium=video&utm_campaign=lgc
Juventus,Bologna,17/07/2026 19:00,ITALY: Serie A,https://www.scorebat.com/embed/v/69e5a02419a0b/?utm_source=api&utm_medium=video&utm_campaign=lgc
Bayern Munich,Stuttgart,17/07/2026 19:00,GERMANY: Bundesliga,https://www.scorebat.com/embed/v/69e515bb16490/?utm_source=api&utm_medium=video&utm_campaign=lgc
Verona,AC Milan,17/07/2026 19:00,ITALY: Serie A,https://www.scorebat.com/embed/v/69e50c4b5d4fc/?utm_source=api&utm_medium=video&utm_campaign=lgc
Chelsea,Manchester United,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e410d2069f2/?utm_source=api&utm_medium=video&utm_campaign=lgc
Atletico Madrid,Real Sociedad,17/07/2026 19:00,SPAIN: National cup,https://www.scorebat.com/embed/v/69e4480425d0b/?utm_source=api&utm_medium=video&utm_campaign=lgc
Roma,Atalanta,17/07/2026 19:00,ITALY: Serie A,https://www.scorebat.com/embed/v/69e4474342607/?utm_source=api&utm_medium=video&utm_campaign=lgc
Tottenham Hotspur,Brighton,17/07/2026 19:00,ENGLAND: Premier League,https://www.scorebat.com/embed/v/69e3f2e286a83/?utm_source=api&utm_medium=video&utm_campaign=lgc
